symbol,sector,bars,start,end
AAVE,defi,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
ACE,gaming,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
ADA,layer1,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
AIXBT,ai,1581,2025-01-10 12:00:00,2025-09-30 20:00:00
APE,nft,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
APT,layer1,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
AR,infra,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
ARB,layer2,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
DOGE,meme,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
ETH,layer1,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
LINK,oracle,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
PEPE,meme,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
SOL,layer1,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
SUI,layer1,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
WIF,meme,3262,2024-04-05 08:00:00,2025-09-30 20:00:00
