symbol,sector,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,regime_on,partial_taken
LINK,oracle,2024-12-08 12:00:00,2024-12-09 20:00:00,26.62,22.41,190.0237529691211,-800.0,-807.0690875819478,-15.815176558978216,9,stop_loss,True,False
PEPE,meme,2024-12-09 16:00:00,2024-12-18 20:00:00,2.693e-05,2.034e-05,121396054.62822452,-800.0,-801.2911380880122,-24.470850352766437,56,stop_loss,False,False
AAVE,defi,2024-12-10 12:00:00,2024-12-19 00:00:00,285.74,334.38756464039426,6.492746255108365,865.2724812463318,858.5844643357801,17.02511536375524,52,supertrend_trail,False,True
SUI,layer1,2024-12-12 04:00:00,2025-01-02 00:00:00,4.8147,4.2848,541.7788265852014,-287.0886002074985,-278.0966923454873,-11.0058778324714,126,time_stop,False,False
LINK,oracle,2024-12-12 08:00:00,2025-01-02 04:00:00,28.83,21.89,85.60339237317632,-594.0875430698435,-608.3194403743734,-24.07214706902532,126,time_stop,False,False
WIF,meme,2025-05-08 08:00:00,2025-05-15 12:00:00,0.621,0.9815497596501372,3956.5073298806037,2320.6884233954743,2315.22297449325,58.05954261676929,44,supertrend_trail,True,True
PEPE,meme,2025-05-08 20:00:00,2025-05-17 00:00:00,1.063e-05,1.2312636412643469e-05,129721551.79936405,616.5193705862735,615.1396076418271,15.8291289994682,50,supertrend_trail,True,True
ETH,layer1,2025-05-09 00:00:00,2025-05-18 16:00:00,2207.39,2694.282583885997,1.7376346998750978,846.0414488721558,836.0328549138965,22.057388313166104,59,supertrend_trail,True,False
SUI,layer1,2025-05-08 04:00:00,2025-05-29 00:00:00,3.6008,3.6052,1645.8017179203841,7.241527558849624,-18.156132850853837,0.12219506776272038,126,time_stop,False,False
AIXBT,ai,2025-05-09 00:00:00,2025-05-29 20:00:00,0.2007,0.2261,16383.053125799603,416.12954939531,400.23624146258726,12.655705032386644,126,time_stop,False,False
WIF,meme,2025-05-21 20:00:00,2025-05-30 16:00:00,1.151,0.929,3746.678941498137,-831.7627250125863,-837.2472829970394,-19.287576020851425,54,stop_loss,False,False
PEPE,meme,2025-05-18 16:00:00,2025-05-30 20:00:00,1.403e-05,1.196e-05,398586696.7020655,-825.0744621732752,-827.4052975289147,-14.754098360655732,74,stop_loss,False,False
AAVE,defi,2025-05-20 04:00:00,2025-06-10 00:00:00,266.14,283.31,15.354674635639403,263.6397634939288,246.51966274265743,6.451491696099798,126,time_stop,True,False
ETH,layer1,2025-06-10 04:00:00,2025-06-13 00:00:00,2688.89,2457.0,3.5511419316883623,-823.4743025392139,-834.2696588952438,-8.624004700824495,18,stop_loss,False,False
