datetime,open,high,low,close,volume
2025-09-22 08:00:00,1.0,7.115,1.0,5.608,28500519.39
2025-09-22 12:00:00,5.601,7.26,4.6,5.033,26790216.85
2025-09-22 16:00:00,5.034,5.356,4.184,4.675,9540053.22
2025-09-22 20:00:00,4.674,4.85,4.339,4.839,4580863.32
2025-09-23 00:00:00,4.838,7.18,4.566,6.064,19876821.72
2025-09-23 04:00:00,6.065,6.349,5.573,5.842,9083455.75
2025-09-23 08:00:00,5.84,6.068,5.35,5.462,5539486.68
2025-09-23 12:00:00,5.462,6.028,5.14,5.238,8009754.56
2025-09-23 16:00:00,5.239,5.646,4.97,5.427,4923858.51
2025-09-23 20:00:00,5.427,6.041,5.198,5.815,5316445.62
2025-09-24 00:00:00,5.82,5.895,5.297,5.349,4170300.15
2025-09-24 04:00:00,5.347,5.568,5.101,5.49,4009188.38
2025-09-24 08:00:00,5.488,5.513,4.861,4.953,4389416.01
2025-09-24 12:00:00,4.952,5.114,4.868,5.016,4422472.17
2025-09-24 16:00:00,5.016,5.196,4.838,5.079,1489936.69
2025-09-24 20:00:00,5.079,5.119,4.91,5.005,1045357.41
2025-09-25 00:00:00,5.006,5.014,4.227,4.285,2327454.27
2025-09-25 04:00:00,4.284,4.391,4.038,4.096,2125615.5
2025-09-25 08:00:00,4.096,4.124,3.848,3.871,2458241.65
2025-09-25 12:00:00,3.87,3.895,3.649,3.774,2237697.57
2025-09-25 16:00:00,3.774,4.011,3.707,3.772,2235450.99
2025-09-25 20:00:00,3.773,3.984,3.655,3.917,1897382.97
2025-09-26 00:00:00,3.917,4.455,3.857,3.956,4792934.84
2025-09-26 04:00:00,3.955,4.083,3.781,4.02,1898504.37
2025-09-26 08:00:00,4.021,4.084,3.65,3.742,2264288.83
2025-09-26 12:00:00,3.741,3.742,3.341,3.429,2750040.28
2025-09-26 16:00:00,3.429,3.666,3.401,3.58,1903121.88
2025-09-26 20:00:00,3.579,3.753,3.565,3.679,1184219.06
2025-09-27 00:00:00,3.68,3.756,3.566,3.66,1293570.82
2025-09-27 04:00:00,3.66,3.996,3.649,3.83,1983713.72
2025-09-27 08:00:00,3.83,3.863,3.471,3.503,1464223.45
2025-09-27 12:00:00,3.502,3.691,3.453,3.591,1382336.58
2025-09-27 16:00:00,3.591,3.688,3.469,3.628,917941.5
2025-09-27 20:00:00,3.628,3.755,3.58,3.731,886888.93
2025-09-28 00:00:00,3.731,3.787,3.511,3.631,1360501.19
