datetime,open,high,low,close,volume
2024-04-05 08:00:00,1.646,1.662,1.608,1.612,2290538.94
2024-04-05 12:00:00,1.611,1.675,1.6,1.675,2032565.4
2024-04-05 16:00:00,1.673,1.69,1.654,1.675,997236.24
2024-04-05 20:00:00,1.674,1.69,1.656,1.662,821733.42
2024-04-06 00:00:00,1.662,1.704,1.651,1.702,1237589.87
2024-04-06 04:00:00,1.702,1.716,1.694,1.71,612589.9
2024-04-06 08:00:00,1.71,1.725,1.694,1.696,701990.78
2024-04-06 12:00:00,1.696,1.713,1.685,1.698,835937.86
2024-04-06 16:00:00,1.699,1.708,1.691,1.695,749973.43
2024-04-06 20:00:00,1.695,1.721,1.691,1.705,794730.65
2024-04-07 00:00:00,1.705,1.729,1.694,1.724,1020795.64
2024-04-07 04:00:00,1.723,1.728,1.712,1.715,687576.51
2024-04-07 08:00:00,1.714,1.73,1.708,1.729,781268.44
2024-04-07 12:00:00,1.729,1.741,1.715,1.718,1344251.1
2024-04-07 16:00:00,1.718,1.735,1.695,1.698,1458585.8
2024-04-07 20:00:00,1.697,1.725,1.69,1.723,1202080.02
2024-04-08 00:00:00,1.723,1.723,1.674,1.689,1589002.62
2024-04-08 04:00:00,1.689,1.732,1.678,1.726,1152349.96
2024-04-08 08:00:00,1.726,1.776,1.724,1.772,3471687.7
2024-04-08 12:00:00,1.772,1.783,1.752,1.771,2553287.77
2024-04-08 16:00:00,1.771,1.782,1.763,1.773,969731.93
2024-04-08 20:00:00,1.773,1.82,1.769,1.801,2113109.41
2024-04-09 00:00:00,1.801,1.807,1.766,1.773,1767507.72
2024-04-09 04:00:00,1.773,1.786,1.73,1.74,2663929.04
2024-04-09 08:00:00,1.741,1.769,1.709,1.768,1850686.33
2024-04-09 12:00:00,1.768,1.772,1.68,1.708,3050692.6
2024-04-09 16:00:00,1.708,1.712,1.673,1.704,1548154.38
2024-04-09 20:00:00,1.702,1.71,1.68,1.686,610865.2
2024-04-10 00:00:00,1.685,1.697,1.636,1.667,2421807.67
2024-04-10 04:00:00,1.667,1.686,1.662,1.669,1039916.26
2024-04-10 08:00:00,1.668,1.671,1.638,1.655,1792647.59
2024-04-10 12:00:00,1.654,1.658,1.581,1.624,3433165.75
2024-04-10 16:00:00,1.624,1.661,1.619,1.651,1380191.95
2024-04-10 20:00:00,1.651,1.681,1.639,1.661,955776.38
2024-04-11 00:00:00,1.66,1.665,1.644,1.658,718006.01
2024-04-11 04:00:00,1.658,1.682,1.643,1.677,856087.79
2024-04-11 08:00:00,1.676,1.687,1.625,1.63,1343522.17
2024-04-11 12:00:00,1.629,1.656,1.612,1.631,2254399.31
2024-04-11 16:00:00,1.631,1.638,1.604,1.62,1215925.04
2024-04-11 20:00:00,1.621,1.632,1.615,1.623,742836.13
2024-04-12 00:00:00,1.624,1.651,1.622,1.649,724130.98
2024-04-12 04:00:00,1.648,1.654,1.616,1.623,788169.98
2024-04-12 08:00:00,1.623,1.631,1.612,1.622,823904.85
2024-04-12 12:00:00,1.622,1.622,1.516,1.524,5333135.06
2024-04-12 16:00:00,1.524,1.53,1.062,1.265,15827584.69
2024-04-12 20:00:00,1.266,1.314,1.258,1.305,4148987.79
2024-04-13 00:00:00,1.305,1.305,1.243,1.28,2546993.45
2024-04-13 04:00:00,1.28,1.304,1.271,1.286,1657533.51
2024-04-13 08:00:00,1.286,1.315,1.274,1.295,3603443.29
2024-04-13 12:00:00,1.295,1.319,1.287,1.288,2181867.85
2024-04-13 16:00:00,1.288,1.291,1.072,1.122,8766015.14
2024-04-13 20:00:00,1.122,1.168,1.0,1.146,15264691.99
2024-04-14 00:00:00,1.146,1.155,1.094,1.13,3507441.67
2024-04-14 04:00:00,1.131,1.218,1.123,1.211,3578136.95
2024-04-14 08:00:00,1.211,1.216,1.152,1.163,2168068.11
2024-04-14 12:00:00,1.163,1.195,1.146,1.172,2584843.98
2024-04-14 16:00:00,1.172,1.198,1.128,1.181,3524939.04
2024-04-14 20:00:00,1.18,1.246,1.163,1.226,1788814.02
2024-04-15 00:00:00,1.226,1.226,1.172,1.18,1478584.16
2024-04-15 04:00:00,1.179,1.269,1.165,1.254,2242799.94
2024-04-15 08:00:00,1.254,1.267,1.231,1.242,1763490.7
2024-04-15 12:00:00,1.241,1.259,1.187,1.216,2872881.99
2024-04-15 16:00:00,1.216,1.225,1.143,1.186,3559244.86
2024-04-15 20:00:00,1.186,1.195,1.151,1.184,1069973.54
2024-04-16 00:00:00,1.184,1.196,1.146,1.155,1097260.16
2024-04-16 04:00:00,1.155,1.199,1.12,1.194,1744077.26
2024-04-16 08:00:00,1.194,1.196,1.132,1.188,2222788.04
2024-04-16 12:00:00,1.188,1.188,1.128,1.138,2003816.79
2024-04-16 16:00:00,1.138,1.196,1.131,1.185,1621002.0
2024-04-16 20:00:00,1.184,1.219,1.183,1.2,665422.19
2024-04-17 00:00:00,1.199,1.206,1.178,1.196,927133.58
2024-04-17 04:00:00,1.197,1.218,1.19,1.206,951798.52
2024-04-17 08:00:00,1.205,1.213,1.163,1.165,1197446.11
2024-04-17 12:00:00,1.165,1.188,1.137,1.148,3778367.1
2024-04-17 16:00:00,1.148,1.225,1.133,1.207,2216975.34
2024-04-17 20:00:00,1.208,1.219,1.182,1.186,979223.97
2024-04-18 00:00:00,1.185,1.216,1.157,1.204,1277914.51
2024-04-18 04:00:00,1.205,1.216,1.178,1.186,1083544.16
2024-04-18 08:00:00,1.186,1.245,1.172,1.235,2683562.45
2024-04-18 12:00:00,1.235,1.252,1.2,1.245,2696940.13
2024-04-18 16:00:00,1.246,1.268,1.225,1.252,1916482.82
2024-04-18 20:00:00,1.253,1.265,1.246,1.251,774070.48
2024-04-19 00:00:00,1.251,1.251,1.154,1.21,2871334.85
2024-04-19 04:00:00,1.209,1.274,1.204,1.248,2134970.44
2024-04-19 08:00:00,1.248,1.259,1.232,1.236,1700623.48
2024-04-19 12:00:00,1.237,1.247,1.217,1.242,1941290.42
2024-04-19 16:00:00,1.242,1.25,1.223,1.247,1053690.96
2024-04-19 20:00:00,1.247,1.248,1.202,1.222,1160135.01
2024-04-20 00:00:00,1.223,1.243,1.205,1.237,909492.26
2024-04-20 04:00:00,1.237,1.262,1.234,1.256,610319.59
2024-04-20 08:00:00,1.255,1.255,1.236,1.24,782161.65
2024-04-20 12:00:00,1.24,1.28,1.234,1.279,919849.59
2024-04-20 16:00:00,1.278,1.319,1.268,1.314,2131575.89
2024-04-20 20:00:00,1.314,1.323,1.308,1.316,699216.71
2024-04-21 00:00:00,1.316,1.326,1.293,1.312,1155868.07
2024-04-21 04:00:00,1.311,1.325,1.306,1.321,1079478.05
2024-04-21 08:00:00,1.321,1.327,1.292,1.31,1834450.61
2024-04-21 12:00:00,1.311,1.314,1.278,1.29,1112128.35
2024-04-21 16:00:00,1.291,1.292,1.258,1.275,1073731.64
2024-04-21 20:00:00,1.275,1.296,1.27,1.286,659167.24
2024-04-22 00:00:00,1.286,1.322,1.273,1.314,2159379.43
2024-04-22 04:00:00,1.314,1.34,1.311,1.314,1307343.34
2024-04-22 08:00:00,1.313,1.339,1.303,1.32,1258856.21
2024-04-22 12:00:00,1.319,1.334,1.304,1.323,1498146.65
2024-04-22 16:00:00,1.322,1.348,1.319,1.344,1725461.34
2024-04-22 20:00:00,1.343,1.36,1.34,1.345,759987.29
2024-04-23 00:00:00,1.344,1.363,1.334,1.335,591060.86
2024-04-23 04:00:00,1.336,1.343,1.312,1.319,1030437.8
2024-04-23 08:00:00,1.32,1.333,1.312,1.319,905963.6
2024-04-23 12:00:00,1.319,1.345,1.309,1.327,1479682.4
2024-04-23 16:00:00,1.326,1.332,1.307,1.322,736827.25
2024-04-23 20:00:00,1.322,1.326,1.304,1.317,555640.52
2024-04-24 00:00:00,1.316,1.342,1.308,1.337,998777.31
2024-04-24 04:00:00,1.337,1.359,1.331,1.345,911447.58
2024-04-24 08:00:00,1.345,1.358,1.335,1.355,852665.25
2024-04-24 12:00:00,1.354,1.359,1.266,1.27,3164677.83
2024-04-24 16:00:00,1.269,1.291,1.25,1.269,1651500.12
2024-04-24 20:00:00,1.268,1.272,1.227,1.244,909006.53
2024-04-25 00:00:00,1.244,1.257,1.219,1.225,881274.17
2024-04-25 04:00:00,1.225,1.252,1.205,1.23,1002994.35
2024-04-25 08:00:00,1.23,1.25,1.213,1.242,1280873.07
2024-04-25 12:00:00,1.241,1.278,1.223,1.277,1640626.08
2024-04-25 16:00:00,1.276,1.287,1.27,1.274,834278.76
2024-04-25 20:00:00,1.274,1.288,1.266,1.269,499858.16
2024-04-26 00:00:00,1.268,1.283,1.234,1.259,1861309.08
2024-04-26 04:00:00,1.259,1.275,1.25,1.255,794089.3
2024-04-26 08:00:00,1.255,1.295,1.254,1.279,2024151.19
2024-04-26 12:00:00,1.278,1.322,1.265,1.317,3035280.37
2024-04-26 16:00:00,1.316,1.346,1.288,1.331,2910903.22
2024-04-26 20:00:00,1.332,1.454,1.332,1.387,10324214.99
2024-04-27 00:00:00,1.388,1.388,1.29,1.305,3937321.52
2024-04-27 04:00:00,1.304,1.309,1.249,1.258,2406071.01
2024-04-27 08:00:00,1.257,1.265,1.232,1.239,2232048.57
2024-04-27 12:00:00,1.239,1.251,1.224,1.226,1956688.12
