datetime,open,high,low,close,volume
2025-04-05 08:00:00,5.7232,5.732,5.6548,5.6604,5841.7
2025-04-05 12:00:00,5.6595,5.6613,5.5388,5.5616,14531.35
2025-04-05 16:00:00,5.5595,5.643,5.5535,5.6035,5277.83
2025-04-05 20:00:00,5.6144,5.6742,5.5679,5.6581,8122.41
2025-04-06 00:00:00,5.6528,5.6938,5.5612,5.592,10426.16
2025-04-06 04:00:00,5.5919,5.6483,5.5568,5.5617,3184.98
2025-04-06 08:00:00,5.5616,5.5743,5.492,5.5232,6367.58
2025-04-06 12:00:00,5.524,5.5522,5.3486,5.4546,6063.29
2025-04-06 16:00:00,5.456,5.4684,5.0087,5.0631,19563.03
2025-04-06 20:00:00,5.0592,5.1958,5.0227,5.1722,20731.27
2025-04-07 00:00:00,5.1798,5.3393,5.0663,5.1276,18717.84
2025-04-07 04:00:00,5.1279,5.2098,4.6324,4.7572,39715.07
2025-04-07 08:00:00,4.7603,5.0339,4.7188,4.859,21595.22
2025-04-07 12:00:00,4.861,5.4093,4.8545,5.1602,50265.68
2025-04-07 16:00:00,5.1536,5.2333,5.0718,5.1188,16819.06
2025-04-07 20:00:00,5.129,5.2508,5.129,5.1724,1921.46
2025-04-08 00:00:00,5.1744,5.2758,5.1204,5.1405,33231.71
2025-04-08 04:00:00,5.1439,5.1726,5.0528,5.0908,5993.78
2025-04-08 08:00:00,5.0846,5.1648,5.0378,5.1294,22230.27
2025-04-08 12:00:00,5.1509,5.2268,4.9903,5.0228,36665.47
2025-04-08 16:00:00,5.0326,5.0326,4.852,4.8854,16140.77
2025-04-08 20:00:00,4.8934,4.9717,4.8551,4.9064,32260.57
2025-04-09 00:00:00,4.906,4.9069,4.6478,4.7445,47104.35
2025-04-09 04:00:00,4.7407,4.8981,4.7407,4.8798,8015.14
2025-04-09 08:00:00,4.8924,4.9111,4.7589,4.7819,13415.7
2025-04-09 12:00:00,4.7794,4.9194,4.7347,4.8925,9860.91
2025-04-09 16:00:00,4.8982,5.4488,4.8938,5.3896,70927.54
2025-04-09 20:00:00,5.397,5.5101,5.3893,5.4241,3651.42
2025-04-10 00:00:00,5.4264,5.4264,5.2002,5.2502,36465.49
2025-04-10 04:00:00,5.2534,5.2922,5.1911,5.2247,2632.59
2025-04-10 08:00:00,5.2244,5.2392,5.1944,5.2234,3428.98
2025-04-10 12:00:00,5.2211,5.3253,5.0409,5.0645,11381.11
2025-04-10 16:00:00,5.089,5.2336,5.0591,5.2129,17924.22
2025-04-10 20:00:00,5.1935,5.2691,5.1928,5.2238,2372.76
2025-04-11 00:00:00,5.226,5.3874,5.2184,5.3774,11245.49
2025-04-11 04:00:00,5.3799,5.4552,5.3573,5.3955,9130.22
2025-04-11 08:00:00,5.3958,5.4376,5.3517,5.3523,8440.92
2025-04-11 12:00:00,5.3554,5.4376,5.3115,5.4304,15361.93
