datetime,open,high,low,close,volume
2024-04-05 08:00:00,3.3185,3.367,3.2097,3.2224,9695941.3
2024-04-05 12:00:00,3.2238,3.4762,3.1858,3.3551,15097353.46
2024-04-05 16:00:00,3.3556,3.3928,3.2137,3.3291,7821889.4
2024-04-05 20:00:00,3.3299,3.4021,3.2079,3.2189,4745960.65
2024-04-06 00:00:00,3.2188,3.3767,3.1889,3.3289,6478732.53
2024-04-06 04:00:00,3.3285,3.417,3.2505,3.3716,7111404.71
2024-04-06 08:00:00,3.3709,3.4677,3.2551,3.2735,8825620.52
2024-04-06 12:00:00,3.2723,3.3875,3.2089,3.3813,6836810.8
2024-04-06 16:00:00,3.381,3.3925,3.2505,3.2915,4731503.57
2024-04-06 20:00:00,3.2907,3.5881,3.2772,3.5678,9818012.84
2024-04-07 00:00:00,3.5672,3.7421,3.4477,3.64,12518375.57
2024-04-07 04:00:00,3.6393,3.8031,3.5661,3.5954,12893343.89
2024-04-07 08:00:00,3.5956,3.6885,3.5004,3.63,8876882.67
2024-04-07 12:00:00,3.6299,3.7151,3.5694,3.6314,8318658.61
2024-04-07 16:00:00,3.6328,3.9028,3.6181,3.7864,15970331.62
2024-04-07 20:00:00,3.7861,3.83,3.6694,3.759,6425352.33
2024-04-08 00:00:00,3.7598,3.8477,3.6277,3.6557,6746447.74
2024-04-08 04:00:00,3.6561,3.99,3.6401,3.9612,9085710.18
2024-04-08 08:00:00,3.9626,4.2825,3.9537,4.1626,22554922.86
2024-04-08 12:00:00,4.1624,4.258,4.095,4.1805,11199156.22
2024-04-08 16:00:00,4.1812,4.2951,4.1507,4.2135,5758516.3
2024-04-08 20:00:00,4.2147,4.3432,4.1557,4.2025,6191145.73
2024-04-09 00:00:00,4.2029,4.2155,4.0465,4.0654,8026271.53
2024-04-09 04:00:00,4.0654,4.1196,3.95,3.9588,11012052.66
2024-04-09 08:00:00,3.9589,4.0333,3.8403,3.9831,10441772.13
2024-04-09 12:00:00,3.984,3.9995,3.59,3.688,18641155.94
2024-04-09 16:00:00,3.6885,3.6913,3.535,3.5824,8927838.23
2024-04-09 20:00:00,3.582,3.67,3.5203,3.5857,5657435.1
2024-04-10 00:00:00,3.5858,3.6385,3.35,3.4482,10408067.97
2024-04-10 04:00:00,3.4483,3.5541,3.3979,3.5066,10195597.8
2024-04-10 08:00:00,3.5062,3.5258,3.385,3.4849,10590137.79
2024-04-10 12:00:00,3.4853,3.5686,3.2833,3.4806,21145942.49
2024-04-10 16:00:00,3.4802,3.6193,3.3929,3.5366,12784476.8
2024-04-10 20:00:00,3.537,3.7039,3.4478,3.6212,7578849.76
2024-04-11 00:00:00,3.6215,3.7028,3.5359,3.6208,8728168.63
2024-04-11 04:00:00,3.621,3.8579,3.5814,3.7982,10547583.2
2024-04-11 08:00:00,3.7993,3.8067,3.5263,3.5377,8313414.58
2024-04-11 12:00:00,3.5383,3.6583,3.4786,3.5799,9579384.7
2024-04-11 16:00:00,3.5801,3.6329,3.488,3.5766,6368650.24
2024-04-11 20:00:00,3.5767,3.5996,3.4293,3.4556,3864221.78
2024-04-12 00:00:00,3.4561,3.562,3.42,3.5549,3927493.78
2024-04-12 04:00:00,3.5535,3.557,3.4,3.4018,3925880.02
2024-04-12 08:00:00,3.4018,3.4572,3.3517,3.3896,6133250.04
2024-04-12 12:00:00,3.3892,3.3892,3.1052,3.135,18349250.44
2024-04-12 16:00:00,3.1351,3.1587,2.4048,2.7247,55427227.7
2024-04-12 20:00:00,2.7241,2.8564,2.575,2.6583,18140777.81
2024-04-13 00:00:00,2.6583,2.6747,2.4072,2.5713,18580005.18
2024-04-13 04:00:00,2.5712,2.6902,2.5426,2.6212,12661628.23
2024-04-13 08:00:00,2.6211,2.8236,2.602,2.7516,11892782.6
2024-04-13 12:00:00,2.7515,2.8874,2.7292,2.7479,12620350.28
2024-04-13 16:00:00,2.7466,2.7637,2.19,2.2838,32141966.16
2024-04-13 20:00:00,2.2841,2.4942,1.9489,2.3273,66711858.62
2024-04-14 00:00:00,2.3273,2.4888,2.2395,2.3584,28213463.14
2024-04-14 04:00:00,2.3582,2.745,2.3274,2.6831,26327198.3
2024-04-14 08:00:00,2.6828,2.845,2.6427,2.6955,23061299.04
2024-04-14 12:00:00,2.6951,2.8795,2.66,2.8157,23661844.59
2024-04-14 16:00:00,2.8156,3.045,2.6702,2.8334,44744489.54
